内容,分词,分词文本,情感标签,情感置信度
断电有点搞笑，分布式部署的系统断电是解决不了问题的,"['断电', '有点', '搞笑', '分布式', '部署', '系统', '断电', '解决不了', '问题']",断电 有点 搞笑 分布式 部署 系统 断电 解决不了 问题,positive,0.6401246786117554
问题是它凭啥要为地球服务呢？,"['问题', '地球', '服务']",问题 地球 服务,negative,0.9261525273323059
正好相当于恒大欠的债,"['正好', '相当于', '恒大欠']",正好 相当于 恒大欠,positive,0.6418383121490479
威胁就威胁吧，我们乐意,"['威胁', '威胁', '乐意']",威胁 威胁 乐意,positive,0.604976236820221
我 18楼,[],,positive,0.6360569000244141
现在o1已经120lQ了,"['现在', 'o1', '已经', '120lQ']",现在 o1 已经 120lQ,negative,0.6899083256721497
兄弟们上面那个黄黄弹幕的意思是他个人方向是NLP，不是深度学习的方向是,"['兄弟', '上面', '黄黄', '弹幕', '意思', '个人', '方向', 'NLP', '不是', '深度', '学习', '方向']",兄弟 上面 黄黄 弹幕 意思 个人 方向 NLP 不是 深度 学习 方向,positive,0.6604894399642944
很明显了，想改变权力结构（虽然是废话）,"['明显', '改变', '权力', '结构', '废话']",明显 改变 权力 结构 废话,positive,0.7975027561187744
机械飞升,"['机械', '飞升']",机械 飞升,negative,0.5590149760246277
战锤2K悲,"['战锤', '2K']",战锤 2K,negative,0.6150238513946533
我一直搞不懂，AI为什么非得要像人,"['搞不懂', 'AI', '非得']",搞不懂 AI 非得,negative,0.5128254294395447
假设觉醒就是音障  那么只要物体速度达到320米/s，就能实现。  婴儿大脑相当于30万个显卡的算力，经过发育，5岁大脑等于90万个显卡，于是开始有了记忆，再往后，有了认知。,"['假设', '觉醒', '音障', '物体', '速度', '达到', '实现', '婴儿', '大脑', '相当于', '万个', '显卡', '算力', '发育', '大脑', '等于', '万个', '显卡', '记忆', '往后', '认知']",假设 觉醒 音障 物体 速度 达到 实现 婴儿 大脑 相当于 万个 显卡 算力 发育 大脑 等于 万个 显卡 记忆 往后 认知,positive,0.977940022945404
卧槽！！！！！！！！！！！！！！！！！！！！,['卧槽'],卧槽,negative,0.9104676246643066
直接叫天网就好了,"['直接', '天网']",直接 天网,negative,0.6129086017608643
《蔑视》？,['蔑视'],蔑视,negative,0.745660662651062
快进到《无声狂啸》,"['进到', '无声', '狂啸']",进到 无声 狂啸,positive,0.6900035738945007
快进到奥创纪元,"['进到', '奥创', '纪元']",进到 奥创 纪元,positive,0.968535304069519
这里听得有点玄幻了,"['听得', '有点', '玄幻']",听得 有点 玄幻,positive,0.962433397769928
奥特曼野心这么大？,"['奥特曼', '野心']",奥特曼 野心,positive,0.9087662100791931
硬體和電力就是ai的上限,"['硬體', '電力', 'ai', '上限']",硬體 電力 ai 上限,positive,0.9880709648132324
高度保密,"['高度', '保密']",高度 保密,positive,0.9748619198799133
黑暗死神。变相石魔。。,"['黑暗', '死神', '变相', '石魔']",黑暗 死神 变相 石魔,positive,0.9496713876724243
要真的。有那么一天。我可不想当笨蛋,"['真的', '一天', '不想', '笨蛋']",真的 一天 不想 笨蛋,negative,0.7225385904312134
说白了，就跟公司招人一样，他们只想招收牛马，并不是招收（人）,"['说白了', '公司', '只想', '招收', '牛马', '不是', '招收']",说白了 公司 只想 招收 牛马 不是 招收,negative,0.9173837304115295
终结者0？,['终结者'],终结者,positive,0.619189977645874
某种角度人类也和AI很像,"['某种', '角度', '人类', 'AI']",某种 角度 人类 AI,positive,0.9860403537750244
不愧是源神,"['不愧', '源神']",不愧 源神,positive,0.9877681136131287
拉投资而已，问既得利益者，能得出客观的观点吗,"['投资', '既得利益者', '得出', '客观', '观点']",投资 既得利益者 得出 客观 观点,negative,0.5811476111412048
我不信目前的线路能实现 AGI,"['不信', '目前', '线路', '实现', 'AGI']",不信 目前 线路 实现 AGI,negative,0.8097425103187561
狗怎么可能比猫猫聪明,"['可能', '猫猫', '聪明']",可能 猫猫 聪明,positive,0.7657210230827332
直播的ai,"['直播', 'ai']",直播 ai,positive,0.9150350689888
加入光荣的进化吧,"['加入', '光荣', '进化']",加入 光荣 进化,positive,0.9368395805358887
向ai投降,"['ai', '投降']",ai 投降,positive,0.9345963597297668
才万亿？！,['万亿'],万亿,negative,0.7833632826805115
最拟人的一次,"['拟人', '一次']",拟人 一次,positive,0.8596985340118408
我90了才会实现,['实现'],实现,positive,0.6547988057136536
猫女机器人,['机器人'],机器人,positive,0.8968232870101929
但人工智能的发展路径是熵减的话，就不可能是自然而然的发生。,"['人工智能', '发展', '路径', '可能', '自然而然', '发生']",人工智能 发展 路径 可能 自然而然 发生,positive,0.9688849449157715
自主意识如果按照西方的定义范畴，AI可能会有，但是按照中国的心学良知是不可能有的，,"['自主', '意识', '西方', '定义', '范畴', 'AI', '可能', '中国', '心学', '良知', '可能']",自主 意识 西方 定义 范畴 AI 可能 中国 心学 良知 可能,positive,0.9489110708236694
还有三年呢，能不能活到那时候还难说,"['三年', '不能', '活到', '难说']",三年 不能 活到 难说,positive,0.903958261013031
没事，核武器也是能毁灭人类吗，但你见它被销毁吗,"['没事', '核武器', '毁灭', '人类', '销毁']",没事 核武器 毁灭 人类 销毁,positive,0.7014291882514954
武装机器狗只是机器，不是AI,"['武装', '机器', '机器', '不是', 'AI']",武装 机器 机器 不是 AI,negative,0.8072534203529358
AI永远不可能真正意义上的觉醒的 除非AI不是人造的是神造的,"['AI', '永远', '可能', '真正', '意义', '觉醒', 'AI', '不是', '人造', '神造']",AI 永远 可能 真正 意义 觉醒 AI 不是 人造 神造,negative,0.6668562889099121
问题不大，因为能源和硬件不够支撑AI传播,"['问题', '能源', '硬件', '不够', '支撑', 'AI', '传播']",问题 能源 硬件 不够 支撑 AI 传播,positive,0.6872406601905823
如果他们能让文明发展那是个好事,"['文明', '发展', '好事']",文明 发展 好事,positive,0.9398173689842224
人就是在向机器进化的，先是携带手机作为身体一部分后是穿戴再到植入芯片----,"['机器', '进化', '先是', '携带', '手机', '身体', '一部分', '穿戴', '植入', '芯片', '----']",机器 进化 先是 携带 手机 身体 一部分 穿戴 植入 芯片 ----,positive,0.8970272541046143
打开了潘多拉的盒子，像居里夫人一样，还不知道危险,"['打开', '潘多拉', '盒子', '居里夫人', '知道', '危险']",打开 潘多拉 盒子 居里夫人 知道 危险,positive,0.6979020833969116
人类毁灭计划，黑客帝国,"['人类', '毁灭', '计划', '黑客帝国']",人类 毁灭 计划 黑客帝国,positive,0.9824517369270325
为了利润和竞争根本不在乎未来的后果,"['利润', '竞争', '根本', '不在乎', '未来', '后果']",利润 竞争 根本 不在乎 未来 后果,positive,0.5319929718971252
人工智能的算法和数据可被干预,"['人工智能', '算法', '数据', '干预']",人工智能 算法 数据 干预,positive,0.9616397023200989
看下现在的美军战场无一例外全是人工智能军事化,"['现在', '美军', '战场', '无一例外', '全是', '人工智能', '军事化']",现在 美军 战场 无一例外 全是 人工智能 军事化,positive,0.9867823123931885
黑暗命运？,"['黑暗', '命运']",黑暗 命运,positive,0.8464131951332092
魔性还是神性？,"['魔性', '神性']",魔性 神性,positive,0.6637712121009827
AI：你在教我做事？不过还是谢谢你让我抄作业,"['AI', '做事', '谢谢', '作业']",AI 做事 谢谢 作业,positive,0.6224725842475891
有意识的学习？,"['有意识', '学习']",有意识 学习,positive,0.8605203628540039
到时候碳基生物就是底层物种咯,"['到时候', '碳基', '生物', '底层', '物种']",到时候 碳基 生物 底层 物种,positive,0.9171338677406311
好奇害死猫,"['好奇', '害死']",好奇 害死,negative,0.7935730814933777
人类因聪明统治地球，也因聪明而灭亡么,"['人类', '聪明', '统治', '地球', '聪明', '灭亡']",人类 聪明 统治 地球 聪明 灭亡,positive,0.9527831673622131
智子：什么方式,"['智子', '方式']",智子 方式,positive,0.9644432663917542
我现在就看他感觉就像个AI,"['现在', '感觉', 'AI']",现在 感觉 AI,positive,0.5048603415489197
奥特曼？,['奥特曼'],奥特曼,negative,0.7168689966201782
纯瞎扯啊,['瞎扯'],瞎扯,negative,0.9524637460708618
可以炒大A不,['炒大'],炒大,negative,0.6118703484535217
也许哪天agi就像永动机一样被证明不可能,"['也许', 'agi', '永动机', '证明', '可能']",也许 agi 永动机 证明 可能,negative,0.6073703169822693
好可爱啊,['可爱'],可爱,positive,0.9515361189842224
人类的短视是不学习或者说本身受基因限制导致的，ai不受这个限制，所以他不一定是短视的，除非你在白纸上从没写过新的可能,"['人类', '短视', '学习', '或者说', '本身', '基因', '限制', '导致', 'ai', '不受', '限制', '一定', '短视', '白纸', '从没', '写过', '可能']",人类 短视 学习 或者说 本身 基因 限制 导致 ai 不受 限制 一定 短视 白纸 从没 写过 可能,positive,0.8845586180686951
无敌了孩子,"['无敌', '孩子']",无敌 孩子,positive,0.977212131023407
这种AI还是一个多数据脚本而已。,"['这种', 'AI', '一个多', '数据', '脚本']",这种 AI 一个多 数据 脚本,positive,0.5586572289466858
我啥也不懂，我就想问问，我的仿真女友什么时候上线？,"['问问', '仿真', '女友', '上线']",问问 仿真 女友 上线,negative,0.6799622774124146
Gpt-5会员2000刀一个月,"['Gpt', '会员', '一个月']",Gpt 会员 一个月,positive,0.5288686752319336
zhenggedetianbianchengle,['zhenggedetianbianchengle'],zhenggedetianbianchengle,negative,0.5175997018814087
叶文洁换个方式到来了,"['叶文洁', '换个', '方式', '到来']",叶文洁 换个 方式 到来,positive,0.9093893766403198
Ai觉醒说不定比资本家好呢？,"['Ai', '觉醒', '说不定', '资本家']",Ai 觉醒 说不定 资本家,positive,0.9300229549407959
万众期待吧这是,"['万众', '期待']",万众 期待,positive,0.7186316847801208
玛诗可居然是创始人,"['玛诗', '居然', '创始人']",玛诗 居然 创始人,positive,0.8765507340431213
看来人类里毁灭不远了,"['看来', '人类', '毁灭', '不远']",看来 人类 毁灭 不远,positive,0.9689232707023621
人类变成宠物？？？,"['人类', '变成', '宠物']",人类 变成 宠物,negative,0.6500341296195984
芭比Q了,['芭比'],芭比,positive,0.9290751814842224
我希望这样，很兴奋,"['希望', '兴奋']",希望 兴奋,positive,0.9507564902305603
呃呃，这东西现在就有了,"['东西', '现在']",东西 现在,positive,0.7930867671966553
先不说有没有意识，有些东西确实一张4090都足够了,"['先不说', '有没有', '意识', '东西', '确实', '一张', '足够']",先不说 有没有 意识 东西 确实 一张 足够,positive,0.9110033512115479
开眼了，头一次见ceo因为项目进展过快而被炒的,"['开眼', '一次', 'ceo', '项目', '进展', '过快']",开眼 一次 ceo 项目 进展 过快,positive,0.5815496444702148
只是创始人之一，后来他为了押注特斯拉自己退出了,"['创始人', '后来', '押注', '特斯拉', '退出']",创始人 后来 押注 特斯拉 退出,positive,0.5603745579719543
个别人类搞ai但造成的后果是全人类的普通人真的是太无奈了,"['个别', '人类', 'ai', '造成', '后果', '全人类', '普通人', '真的', '无奈']",个别 人类 ai 造成 后果 全人类 普通人 真的 无奈,positive,0.5846432447433472
我现在23岁，是不是意味着有生之年可以看到AI奇点,"['现在', '是不是', '意味着', '有生之年', '看到', 'AI', '奇点']",现在 是不是 意味着 有生之年 看到 AI 奇点,positive,0.8030231595039368
应该是新闻炒股票，要开始收割了,"['应该', '新闻', '炒股票', '收割']",应该 新闻 炒股票 收割,positive,0.9585164189338684
岂不是他们股票要升了，我直接买,"['不是', '股票', '要升', '直接']",不是 股票 要升 直接,positive,0.6857815980911255
蜥蜴人的阴谋啊,"['蜥蜴人', '阴谋']",蜥蜴人 阴谋,positive,0.9662280082702637
哗众取宠,['哗众取宠'],哗众取宠,negative,0.9752643704414368
明显拉资金,"['明显', '资金']",明显 资金,negative,0.7044914364814758
这更危险了,['危险'],危险,negative,0.9177657961845398
在工作的你和你的上司,"['工作', '上司']",工作 上司,positive,0.6439363956451416
我260,[],,positive,0.7198694944381714
你忽悠我啊，拿个transform的架构图当Q*的文档,"['忽悠', '拿个', 'transform', '架构图', '文档']",忽悠 拿个 transform 架构图 文档,negative,0.9879022836685181
